student_id,name,age,gender,study_hours,attendance,math_score,science_score,english_score,assignments_completed,final_result
1,Student_1,24,Male,7,73,57,88,97,3,Pass
2,Student_2,21,Male,7,86,73,99,62,8,Pass
3,Student_3,22,Male,6,84,59,32,43,8,Fail
4,Student_4,24,Male,7,93,91,49,50,2,Pass
5,Student_5,20,Male,4,89,91,88,77,6,Pass
6,Student_6,22,Male,1,71,30,65,49,7,Fail
7,Student_7,22,Female,6,76,56,48,37,2,Fail
8,Student_8,24,Female,5,84,91,96,36,2,Pass
9,Student_9,19,Male,5,50,32,48,96,1,Pass
10,Student_10,20,Female,2,84,99,49,46,8,Pass
11,Student_11,24,Female,7,86,56,81,62,1,Pass
12,Student_12,20,Female,5,96,38,62,77,9,Pass
13,Student_13,20,Female,2,63,91,69,88,6,Pass
14,Student_14,22,Male,1,52,66,68,51,7,Pass
15,Student_15,21,Female,4,50,80,30,59,7,Pass
16,Student_16,20,Male,4,54,73,40,67,3,Pass
17,Student_17,23,Female,4,75,53,86,80,2,Pass
18,Student_18,22,Female,5,63,88,79,83,9,Pass
19,Student_19,19,Female,1,88,61,52,37,8,Pass
20,Student_20,21,Male,5,76,81,60,56,7,Pass
21,Student_21,23,Female,7,58,91,71,56,9,Pass
22,Student_22,23,Male,5,64,87,36,50,4,Pass
23,Student_23,19,Female,1,64,81,45,59,4,Pass
24,Student_24,21,Male,1,75,41,89,57,1,Pass
25,Student_25,22,Female,7,91,68,31,93,8,Pass
26,Student_26,18,Male,1,62,31,30,98,3,Pass
27,Student_27,21,Male,1,81,32,77,90,7,Pass
28,Student_28,19,Female,4,88,85,41,77,2,Pass
29,Student_29,23,Male,7,98,88,98,48,2,Pass
30,Student_30,22,Female,3,81,31,66,33,7,Fail
31,Student_31,21,Female,3,53,31,61,64,6,Pass
32,Student_32,18,Female,1,79,83,38,93,3,Pass
33,Student_33,18,Female,3,86,30,48,78,9,Pass
34,Student_34,20,Female,3,72,48,77,46,6,Pass
35,Student_35,20,Female,1,88,31,32,73,6,Fail
36,Student_36,24,Female,3,94,82,49,59,1,Pass
37,Student_37,19,Female,5,64,73,53,75,4,Pass
38,Student_38,21,Female,2,92,61,83,35,6,Pass
39,Student_39,21,Female,7,78,99,62,66,6,Pass
40,Student_40,24,Female,2,85,61,53,53,5,Pass
41,Student_41,23,Male,1,62,97,65,75,1,Pass
42,Student_42,23,Male,4,81,84,67,82,8,Pass
43,Student_43,24,Female,7,56,85,54,89,5,Pass
44,Student_44,23,Female,1,71,46,47,92,5,Pass
45,Student_45,20,Female,4,77,67,95,61,7,Pass
46,Student_46,21,Female,2,51,53,83,62,4,Pass
47,Student_47,24,Female,1,91,98,64,96,6,Pass
48,Student_48,21,Female,7,94,99,90,47,4,Pass
49,Student_49,18,Female,7,55,40,70,54,3,Pass
50,Student_50,20,Female,6,77,45,62,83,7,Pass
